PROVINCIA,age,year_test,cases_p
CONTRALMIRANTE VILLAR,b. 40-60,2021,208
CONTRALMIRANTE VILLAR,c. >60,2020,104
CONTRALMIRANTE VILLAR,c. >60,2021,82
CONTUMAZA,a. <40,2020,79
CONTUMAZA,a. <40,2021,456
CONTUMAZA,b. 40-60,2020,81
CONTUMAZA,b. 40-60,2021,366
CONTUMAZA,c. >60,2020,61
CONTUMAZA,c. >60,2021,263
CORONEL PORTILLO,a. <40,2020,8272
CORONEL PORTILLO,a. <40,2021,4929
CORONEL PORTILLO,b. 40-60,2020,5186
CORONEL PORTILLO,b. 40-60,2021,3230
CORONEL PORTILLO,c. >60,2020,3050
CORONEL PORTILLO,c. >60,2021,1585
CORONGO,a. <40,2020,16
CORONGO,a. <40,2021,63
CORONGO,b. 40-60,2020,16
CORONGO,b. 40-60,2021,52
CORONGO,c. >60,2020,5
CORONGO,c. >60,2021,50
COTABAMBAS,a. <40,2020,379
COTABAMBAS,a. <40,2021,1043
COTABAMBAS,b. 40-60,2020,170
COTABAMBAS,b. 40-60,2021,492
COTABAMBAS,c. >60,2020,59
COTABAMBAS,c. >60,2021,219
CUSCO,a. <40,2020,8270
CUSCO,a. <40,2021,15939
CUSCO,b. 40-60,2020,6188
CUSCO,b. 40-60,2021,9188
CUSCO,c. >60,2020,2293
CUSCO,c. >60,2021,3421
CUTERVO,a. <40,2020,455
CUTERVO,a. <40,2021,1190
CUTERVO,b. 40-60,2020,279
CUTERVO,b. 40-60,2021,831
CUTERVO,c. >60,2020,141
CUTERVO,c. >60,2021,503
DANIEL ALCIDES CARRION,a. <40,2020,313
DANIEL ALCIDES CARRION,a. <40,2021,257
DANIEL ALCIDES CARRION,b. 40-60,2020,165
DANIEL ALCIDES CARRION,b. 40-60,2021,170
DANIEL ALCIDES CARRION,c. >60,2020,54
DANIEL ALCIDES CARRION,c. >60,2021,120
DATEM DEL MARAÑON,a. <40,2020,1577
DATEM DEL MARAÑON,a. <40,2021,308
DATEM DEL MARAÑON,b. 40-60,2020,576
DATEM DEL MARAÑON,b. 40-60,2021,165
DATEM DEL MARAÑON,c. >60,2020,181
DATEM DEL MARAÑON,c. >60,2021,55
DOS DE MAYO,a. <40,2020,191
DOS DE MAYO,a. <40,2021,220
DOS DE MAYO,b. 40-60,2020,117
DOS DE MAYO,b. 40-60,2021,183
DOS DE MAYO,c. >60,2020,54
DOS DE MAYO,c. >60,2021,133
EL COLLAO,a. <40,2020,258
EL COLLAO,a. <40,2021,349
EL COLLAO,b. 40-60,2020,202
EL COLLAO,b. 40-60,2021,269
EL COLLAO,c. >60,2020,93
EL COLLAO,c. >60,2021,214
EL DORADO,a. <40,2020,1076
EL DORADO,a. <40,2021,249
EL DORADO,b. 40-60,2020,433
EL DORADO,b. 40-60,2021,116
EL DORADO,c. >60,2020,245
EL DORADO,c. >60,2021,64
ESPINAR,a. <40,2020,519
ESPINAR,a. <40,2021,666
ESPINAR,b. 40-60,2020,262
ESPINAR,b. 40-60,2021,389
ESPINAR,c. >60,2020,76
ESPINAR,c. >60,2021,166
FERREÑAFE,a. <40,2020,1552
FERREÑAFE,a. <40,2021,361
FERREÑAFE,b. 40-60,2020,1141
FERREÑAFE,b. 40-60,2021,260
FERREÑAFE,c. >60,2020,688
FERREÑAFE,c. >60,2021,141
GENERAL SANCHEZ CERRO,a. <40,2020,192
GENERAL SANCHEZ CERRO,a. <40,2021,333
GENERAL SANCHEZ CERRO,b. 40-60,2020,142
GENERAL SANCHEZ CERRO,b. 40-60,2021,269
GENERAL SANCHEZ CERRO,c. >60,2020,121
GENERAL SANCHEZ CERRO,c. >60,2021,193
GRAN CHIMU,a. <40,2020,260
GRAN CHIMU,a. <40,2021,333
GRAN CHIMU,b. 40-60,2020,144
GRAN CHIMU,b. 40-60,2021,185
GRAN CHIMU,c. >60,2020,100
GRAN CHIMU,c. >60,2021,128
GRAU,a. <40,2020,65
GRAU,a. <40,2021,226
GRAU,b. 40-60,2020,43
GRAU,b. 40-60,2021,118
GRAU,c. >60,2020,19
GRAU,c. >60,2021,103
HUACAYBAMBA,a. <40,2020,85
HUACAYBAMBA,a. <40,2021,158
